时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
利商贷
2015-3-26,3.0,25.0,22.0,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,30.0,22.0,37.5,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,35.0,22.0,37.5,3,11.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,30.0,22.0,37.5,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,3.0,30.0,22.0,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,30.0,21.6,37.5,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,6.0,35.0,21.6,45.0,5,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,30.0,21.6,37.5,4,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,4.0,35.0,21.6,37.5,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,2.0,15.0,21.6,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,3.0,30.0,21.6,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,3.0,30.0,21.6,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,3.0,25.0,21.6,40.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,35.0,21.6,37.5,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,25.0,21.6,40.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,5.0,45.0,21.6,36.0,5,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,5.0,35.0,21.6,48.0,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,35.0,21.6,48.0,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,3.0,25.0,21.6,40.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,4.0,35.0,21.6,52.5,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,3.0,25.0,21.6,30.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,2.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,3.0,30.0,21.6,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,15.0,21.6,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,3.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,30.0,21.6,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,5.0,40.0,21.6,30.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,5.0,35.0,21.6,48.0,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,4.0,35.0,21.6,52.5,4,8.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,30.0,21.6,37.5,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,30.0,21.6,37.5,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,4.0,45.0,21.6,37.5,3,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,7.0,45.0,21.6,34.3,4,11.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,4.0,40.0,21.6,37.5,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,3.0,30.0,21.6,30.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,30.0,21.6,40.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,2.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,3.0,30.0,21.6,30.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,4.0,40.0,21.6,52.5,4,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,3.0,25.0,21.6,30.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,3.0,30.0,21.6,30.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,3.0,30.0,21.6,30.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,2.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,5.0,30.0,21.6,30.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,5.0,30.0,21.6,30.0,2,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,4.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,4.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,3.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,15.0,21.6,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,3.0,23.0,21.6,30.0,2,11.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,5.0,32.0,21.6,42.0,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,15.0,21.6,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,18.0,21.6,30.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,3.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,5.0,25.0,21.6,30.0,3,8.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,4.0,28.0,21.6,30.0,3,9.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,7.0,40.0,21.6,30.0,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,3.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,3.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,4.0,25.0,21.6,30.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,3.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,4.0,28.0,21.6,45.0,4,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,5.0,30.0,21.6,42.0,3,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,4.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,3.0,15.0,21.6,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,3.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,3.0,15.0,21.6,30.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,5.0,33.0,21.6,30.0,3,11.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,4.0,20.0,21.6,30.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,3.0,20.0,21.6,30.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,5.0,25.0,21.6,48.0,5,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,3.0,26.0,21.6,40.0,3,8.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,4.0,23.0,21.6,52.5,4,5.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,3.0,17.0,21.6,40.0,3,5.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,5.0,27.0,21.6,42.0,2,13.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,3.0,18.0,21.6,40.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,3.0,20.0,21.6,50.0,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,3.0,17.0,21.6,40.0,3,5.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,4.0,20.0,21.6,37.5,3,6.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
