时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
新势力宜贷
2015-3-26,4.0,28.76,13.4,30.0,2,14.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,30.76,13.4,30.0,2,15.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,22.76,13.4,30.0,2,11.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,5.0,28.64,12.48,30.0,2,14.32,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,5.5,18.0,30.0,1,5.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,4.5,18.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,1.0,4.5,18.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,4.5,18.0,30.0,1,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,6.0,18.0,30.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,1.0,3.0,18.0,30.0,1,3.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,1.0,4.0,18.0,30.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,4.0,33.6,13.9,30.0,2,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,4.0,33.6,13.9,30.0,2,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,4.0,33.6,13.9,30.0,2,16.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,4.0,37.6,13.9,30.0,2,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,4.0,37.6,13.9,30.0,2,18.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
