时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
连云港e贷
2015-10-19,1.0,1.0,18.0,30.0,1,1.0,1,1.0,no_data_yet,no_data_yet
2015-10-20,2.0,4.0,18.0,30.0,1,4.0,19,0.211,no_data_yet,no_data_yet
2015-10-21,3.0,19.8,15.02,25.0,1,19.8,29,0.683,no_data_yet,no_data_yet
2015-10-22,0.0,0.0,0.0,0.0,0,0,0,0,no_data_yet,no_data_yet
2015-10-23,0.0,0.0,0.0,0.0,0,0,0,0,no_data_yet,no_data_yet
2015-10-24,0.0,0.0,0.0,0.0,0,0,0,0,no_data_yet,no_data_yet
2015-10-25,0.0,0.0,0.0,0.0,0,0,0,0,no_data_yet,no_data_yet
2015-10-26,0.0,0.0,0.0,0.0,0,0,0,0,no_data_yet,no_data_yet
2015-10-27,3.0,13.0,18.08,25.0,1,13.0,34,0.382,no_data_yet,no_data_yet
2015-10-28,2.0,9.8,12.4,30.0,1,9.8,18,0.544,no_data_yet,no_data_yet
2015-10-29,1.0,3.0,18.0,30.0,1,3.0,20,0.15,no_data_yet,no_data_yet
2015-10-30,2.0,7.0,18.0,30.0,1,7.0,22,0.318,no_data_yet,no_data_yet
