时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
正祥资本
2015-4-2,1.0,5.0,22.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,23.89,19.87,16.5,1,23.889,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,16.89,23.52,17.5,2,8.444,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,6.0,41.67,17.95,21.0,4,10.417,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,17.39,20.44,21.0,2,8.694,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,5.0,30.89,28.33,15.4,3,10.298,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,1.0,6.0,40.15,7.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,8.0,19.14,22.08,27.1,3,6.38,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,5.0,13.04,18.66,30.0,2,6.52,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,6.0,20.89,22.24,26.2,4,5.222,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,8.0,39.0,30.86,20.5,4,9.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,6.0,29.9,35.16,18.7,4,7.475,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,4.0,23.25,27.7,18.5,3,7.749,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,7.0,40.0,21.92,24.6,3,13.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,7.0,31.59,24.02,24.6,2,15.795,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,9.0,36.28,26.36,24.1,3,12.094,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,8.0,24.33,20.49,27.1,2,12.165,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,8.0,37.5,31.1,22.5,3,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,5.0,35.9,24.99,22.4,2,17.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,5.0,26.05,27.94,22.4,2,13.024,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,4.0,12.5,18.42,30.0,2,6.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,6.0,29.05,29.97,19.8,3,9.683,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,9.5,15.24,30.0,2,4.75,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,7.0,46.5,30.1,17.4,3,15.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,5.0,38.5,29.79,17.0,2,19.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,2.0,20.0,23.52,18.5,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,30.0,24.19,12.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,3.0,28.0,29.06,14.7,1,28.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,17.0,23.54,22.3,2,8.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,3.0,18.49,23.54,22.3,2,9.246,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,6.0,32.99,29.97,19.8,2,16.496,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,3.0,21.0,23.54,22.3,2,10.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,4.0,26.0,23.06,24.3,2,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,6.0,23.6,22.57,26.2,2,11.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,2.0,10.0,30.88,18.5,2,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,4.0,18.57,23.06,24.3,2,9.285,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,3.0,18.0,24.76,23.3,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,3.0,14.0,24.76,23.3,2,7.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,4.0,17.8,23.97,25.0,2,8.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,2.0,10.0,26.34,20.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,3.0,10.11,29.0,23.3,2,5.055,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,2.0,10.0,32.7,20.0,2,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,3.0,12.0,29.0,23.3,3,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,2.0,9.8,32.7,20.0,2,4.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,2.0,8.8,32.7,20.0,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,2.0,8.8,27.23,17.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,3.0,12.8,27.78,22.3,3,4.267,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,4.0,10.8,24.41,23.8,2,5.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,3.0,13.8,27.78,22.3,2,6.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,3.0,9.8,25.35,21.7,2,4.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,5.0,11.8,25.31,25.4,3,3.933,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,3.0,12.8,27.78,22.3,2,6.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,4.0,16.8,26.24,24.3,3,5.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,2.0,8.8,30.88,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,2.0,8.8,29.08,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,3.0,13.8,25.38,22.3,2,6.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,9.8,29.08,18.5,2,4.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,2.0,8.8,29.08,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,3.0,11.8,25.38,22.3,2,5.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,2.0,7.8,29.08,18.5,2,3.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,3.0,14.6,25.38,22.3,2,7.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,5.0,18.0,22.43,25.4,4,4.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,8.8,29.08,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,2.0,8.8,29.08,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,3.0,16.9,25.38,22.3,3,5.633,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,2.0,8.8,29.08,18.5,2,4.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
