时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
网信贷
2015-3-26,1.0,18.5,20.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,2.0,14.9,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,2.0,12.8,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,15.3,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,22.0,20.0,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,15.9,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,2.0,17.8,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,13.8,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,2.0,17.7,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,15.2,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,15.3,19.0,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet,no_data_yet
