时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
中广核富盈
2015-4-11,1.0,30.0,7.0,360.0,1,30.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,2.0,90.0,7.0,360.0,1,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,120.0,7.0,360.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,41.83,7.56,177.0,1,41.83,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,8.0,474.2,6.68,94.4,2,237.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,7.0,181.66,7.49,161.3,2,90.83,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,3.0,360.0,6.33,260.0,2,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,1.0,100.0,6.0,210.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,6.0,81.9,7.24,78.7,2,40.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,7.0,137.6,7.75,393.9,4,34.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,18.0,693.3,7.66,322.5,2,346.65,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,5.0,209.0,7.66,227.2,2,104.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,6.0,303.9,7.38,223.8,2,151.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,8.0,171.0,7.79,330.0,8,21.375,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,10.0,131.0,7.84,324.0,10,13.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,16.0,109.3,7.92,324.1,10,10.93,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,16.0,189.5,7.85,374.9,4,47.375,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,1.0,50.0,7.0,360.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,1.0,15.0,7.08,25.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,2.0,177.17,7.56,22.5,2,88.585,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,4.0,84.0,7.06,108.8,2,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,3.0,203.0,7.04,138.7,3,67.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,6.0,27.9,7.24,82.2,2,13.95,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,8.0,95.5,7.79,299.5,6,15.917,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,18.0,193.89,7.67,278.3,11,17.626,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,4.0,40.5,7.92,366.8,4,10.125,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,8.0,34.0,8.04,397.1,8,4.25,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,2.0,4.0,8.04,360.0,2,2.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,14.0,175.4,7.84,365.2,13,13.492,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,11.0,103.3,7.95,291.5,11,9.391,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,9.0,169.7,7.6,262.3,7,24.243,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,19.0,90.0,8.39,356.7,19,4.737,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,13.0,1681.5,9.55,499.2,11,152.864,no_data_yet,no_data_yet,no_data_yet,no_data_yet
