时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
宏阳财富
2015-3-26,1.0,15.0,18.0,60.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,3.0,13.0,18.0,50.0,2,6.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,2.0,20.0,18.0,60.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,15.0,18.0,45.0,2,7.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,1.0,14.0,18.0,60.0,1,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,12.0,18.0,60.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,15.0,18.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,15.0,18.0,30.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,12.0,18.0,60.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,12.0,18.0,60.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
