时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
粤辉财富
2015-3-26,7.0,23.0,24.0,210.0,1,23.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,8.0,24.0,210.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,5.0,16.0,24.0,60.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,5.0,16.0,24.0,60.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,10.0,51.8,24.0,54.0,1,51.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,6.0,13.0,24.0,50.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,9.0,54.0,24.0,50.0,1,54.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,6.0,52.4,24.0,155.0,1,52.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,6.0,21.0,24.0,180.0,1,21.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,12.0,41.5,24.0,92.5,1,41.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,7.0,55.0,24.0,94.3,1,55.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,6.0,11.3,24.0,80.0,1,11.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,7.0,43.0,24.0,94.3,1,43.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,6.0,78.0,24.0,105.0,1,78.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,3.0,5.0,24.0,130.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,6.0,19.4,24.0,130.0,1,19.4,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,15.0,65.8,24.0,86.0,1,65.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,18.0,159.0,24.0,90.0,1,159.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,6.0,48.5,24.0,90.0,1,48.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,5.0,77.5,24.0,90.0,1,77.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,5.0,42.0,24.0,90.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,17.0,132.3,24.0,86.5,1,132.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,12.0,82.6,24.0,90.0,1,82.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,13.0,59.7,24.0,80.8,1,59.7,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,10.0,52.2,24.0,84.0,1,52.2,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,10.0,123.0,24.0,165.0,1,123.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,8.0,64.5,24.0,142.5,1,64.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,3.0,67.8,24.0,130.0,1,67.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,16.3,24.0,105.0,1,16.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,7.0,31.1,24.0,115.7,1,31.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,10.0,154.5,24.0,180.0,1,154.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,12.0,61.0,24.0,130.0,1,61.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,5.0,55.5,24.0,180.0,1,55.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,3.0,42.0,24.0,180.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-15,4.0,35.0,24.0,142.5,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-16,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-17,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-18,4.0,52.9,24.0,180.0,1,52.9,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-19,13.0,137.6,24.0,180.0,1,137.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-20,2.0,36.0,24.0,180.0,1,36.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-21,1.0,6.0,24.0,180.0,1,6.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-22,3.0,5.0,24.0,180.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-23,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-24,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-25,5.0,46.5,22.0,180.0,1,46.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-26,2.0,3.5,22.0,180.0,1,3.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-27,2.0,35.0,22.0,180.0,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-28,3.0,37.0,22.0,180.0,1,37.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-29,2.0,4.0,22.0,180.0,1,4.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-1,4.0,16.0,22.0,90.0,1,16.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-2,4.0,68.0,22.0,90.0,1,68.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-3,2.0,8.0,22.0,90.0,1,8.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-4,4.0,12.3,22.0,90.0,1,12.3,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-5,6.0,27.0,22.0,90.0,1,27.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-7,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-8,6.0,113.8,22.0,200.0,1,113.8,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-9,10.0,121.0,22.0,210.0,1,121.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-10,2.0,49.47,22.0,210.0,1,49.47,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-11,3.0,26.0,22.0,190.0,1,26.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-12,6.0,38.0,22.0,200.0,1,38.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-13,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-14,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-15,5.0,39.6,22.0,198.0,1,39.6,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-16,6.0,79.1,22.0,195.0,1,79.1,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-17,12.0,138.09,22.0,202.5,1,138.09,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-18,6.0,27.5,22.0,185.0,1,27.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-19,5.0,46.0,22.0,186.0,1,46.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-20,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-21,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-23,9.0,115.0,22.0,60.0,1,115.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-24,5.0,94.0,22.0,60.0,1,94.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-25,2.0,35.0,22.0,60.0,1,35.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-26,2.0,42.0,22.0,60.0,1,42.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-27,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-29,2.0,5.0,22.0,60.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-6-30,2.0,13.0,22.0,60.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
