时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
广安宏润
2015-3-26,2.0,25.0,21.0,105.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,28.0,20.67,80.0,2,14.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,5.0,50.0,21.2,102.0,3,16.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,25.0,21.0,60.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,27.8,16.62,105.0,3,9.267,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,3.0,20.0,18.0,120.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,3.0,20.0,18.0,80.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,25.0,18.0,80.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,3.0,20.0,18.0,50.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,4.0,25.0,18.0,105.0,2,12.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,3.0,20.0,18.0,80.0,2,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,15.0,18.0,180.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,4.0,32.0,18.0,105.0,3,10.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,13.0,18.0,180.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,15.0,18.0,180.0,1,15.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,12.0,18.0,30.0,1,12.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,13.0,18.0,180.0,1,13.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,10.0,18.0,30.0,1,10.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,5.0,18.0,30.0,1,5.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
