时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
合力贷
2015-3-27,4.0,410.0,15.75,120.0,3,136.667,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,1.0,110.0,16.0,120.0,1,110.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,2.0,250.0,16.0,120.0,1,250.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,1.0,100.0,16.0,150.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,1.0,120.0,16.0,150.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,1.0,130.0,15.0,90.0,1,130.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,355.0,15.67,120.0,3,118.333,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,1.0,100.0,16.0,150.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,1.0,150.0,16.0,150.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,1.0,140.0,16.0,150.0,1,140.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,180.0,16.0,165.0,2,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,1.0,85.0,15.0,90.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,1.0,85.0,16.0,150.0,1,85.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,1.0,120.0,16.0,150.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,1.0,150.0,16.0,150.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,1.0,150.0,16.0,150.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,1.0,180.0,16.0,150.0,1,180.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,1.0,50.0,15.0,60.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,1.0,95.0,16.0,120.0,1,95.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,3.0,375.0,16.0,130.0,2,187.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,1.0,97.0,15.0,90.0,1,97.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,1.0,120.0,16.0,150.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,200.0,16.0,150.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,3.0,300.0,16.0,130.0,2,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,1.0,80.0,16.0,120.0,1,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,160.0,15.5,135.0,2,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,1.0,90.0,16.0,150.0,1,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,130.0,16.0,150.0,1,130.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,200.0,15.0,90.0,1,200.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,2.0,150.0,15.5,120.0,2,75.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,2.0,145.0,15.0,90.0,2,72.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,1.0,80.0,16.0,150.0,1,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-6,1.0,90.0,16.0,150.0,1,90.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-7,2.0,120.0,15.5,105.0,2,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-8,1.0,50.0,16.0,120.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-9,1.0,100.0,16.0,150.0,1,100.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-10,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-11,1.0,120.0,16.0,150.0,1,120.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-13,2.0,223.0,15.5,105.0,2,111.5,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-14,1.0,150.0,15.0,90.0,1,150.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
