时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
汇鑫益
2015-3-26,5.0,30.09,10.8,30.0,2,15.044,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,4.0,31.89,12.58,30.0,2,15.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,4.0,29.89,12.58,30.0,2,14.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,4.0,28.89,13.08,30.0,3,9.63,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,4.0,29.89,13.08,30.0,2,14.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,4.0,35.89,13.58,30.0,2,17.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,4.0,35.89,13.58,30.0,2,17.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,4.0,36.89,14.08,30.0,2,18.444,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,4.0,37.89,14.08,30.0,2,18.944,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,22.0,18.0,30.0,1,22.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,2.0,22.0,18.0,30.0,1,22.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,2.0,18.0,18.0,30.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,20.0,18.0,30.0,1,20.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,18.0,18.0,30.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-28,2.0,18.0,18.0,30.0,2,9.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-29,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-30,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-1,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-2,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-3,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-4,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-5-5,2.0,18.0,18.0,30.0,1,18.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
