时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
乐投资
2015-3-26,3.0,60.0,21.6,40.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-27,3.0,70.0,21.6,40.0,1,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-28,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-29,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-30,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-3-31,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-1,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-2,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-3,3.0,70.0,21.6,40.0,1,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-4,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-5,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-6,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-7,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-8,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-9,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-10,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-11,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-12,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-13,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-14,3.0,60.0,21.6,40.0,1,60.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-15,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-16,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-17,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-18,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-19,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-20,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-21,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-22,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-23,2.0,50.0,21.6,45.0,1,50.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-24,3.0,80.0,21.6,50.0,1,80.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-25,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-26,0.0,0.0,0.0,0.0,0,0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
2015-4-27,2.0,70.0,21.6,45.0,1,70.0,no_data_yet,no_data_yet,no_data_yet,no_data_yet
