时间,成交量（笔数）,成交额（万元）,利率指标（%）,平均借款期限（天）,借款人数量（人/次）,人均借款额,投资人数量（人）,人均投资额（万元）,还款余额（万元）,待还金额（万元）
友金所
2015-11-9,70.0,1448.1,10.0,1044.0,no_data_yet,no_data_yet,1379,0.527,no_data_yet,no_data_yet
2015-11-10,63.0,1206.4,10.0,1017.1,no_data_yet,no_data_yet,865,0.505,no_data_yet,no_data_yet
2015-11-11,45.0,933.8,10.0,1024.0,no_data_yet,no_data_yet,819,0.369,no_data_yet,no_data_yet
2015-11-12,64.0,1427.4,10.0,1029.4,no_data_yet,no_data_yet,991,0.458,no_data_yet,no_data_yet
2015-11-13,70.0,1458.9,10.0,1013.1,no_data_yet,no_data_yet,958,0.475,no_data_yet,no_data_yet
2015-11-14,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-15,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-16,86.0,1782.7,10.0,1029.8,no_data_yet,no_data_yet,1237,0.641,no_data_yet,no_data_yet
2015-11-17,63.0,1277.6,10.0,1022.9,no_data_yet,no_data_yet,1030,0.455,no_data_yet,no_data_yet
2015-11-18,79.0,1535.7,10.0,1020.8,no_data_yet,no_data_yet,785,0.569,no_data_yet,no_data_yet
2015-11-19,61.0,1201.3,10.0,1003.3,no_data_yet,no_data_yet,960,0.387,no_data_yet,no_data_yet
2015-11-20,78.0,1542.9,10.0,1001.5,no_data_yet,no_data_yet,1076,0.499,no_data_yet,no_data_yet
2015-11-21,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-22,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-23,116.0,2328.9,10.0,1042.8,no_data_yet,no_data_yet,1349,0.726,no_data_yet,no_data_yet
2015-11-24,68.0,1344.2,10.0,1016.5,no_data_yet,no_data_yet,977,0.497,no_data_yet,no_data_yet
2015-11-25,53.0,1066.6,10.0,1039.2,no_data_yet,no_data_yet,892,0.397,no_data_yet,no_data_yet
2015-11-26,80.0,1761.7,10.0,1048.5,no_data_yet,no_data_yet,1182,0.459,no_data_yet,no_data_yet
2015-11-27,72.0,1517.1,10.0,1055.0,no_data_yet,no_data_yet,967,0.49,no_data_yet,no_data_yet
2015-11-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-29,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-11-30,46.0,964.4,10.0,1025.2,no_data_yet,no_data_yet,1428,0.495,no_data_yet,no_data_yet
2015-12-1,104.0,2049.5,10.0,996.9,no_data_yet,no_data_yet,751,0.758,no_data_yet,no_data_yet
2015-12-2,56.0,1098.4,10.0,1047.9,no_data_yet,no_data_yet,883,0.375,no_data_yet,no_data_yet
2015-12-3,35.0,739.9,10.0,1049.1,no_data_yet,no_data_yet,927,0.272,no_data_yet,no_data_yet
2015-12-4,44.0,824.3,10.0,990.0,no_data_yet,no_data_yet,978,0.296,no_data_yet,no_data_yet
2015-12-5,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-6,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-7,71.0,1645.0,10.0,1054.6,no_data_yet,no_data_yet,495,0.701,no_data_yet,no_data_yet
2015-12-8,70.0,1303.2,10.0,1008.0,no_data_yet,no_data_yet,1504,0.505,no_data_yet,no_data_yet
2015-12-9,71.0,1421.1,10.0,1044.5,no_data_yet,no_data_yet,1186,0.387,no_data_yet,no_data_yet
2015-12-10,65.0,1475.7,10.0,1024.6,no_data_yet,no_data_yet,997,0.46,no_data_yet,no_data_yet
2015-12-11,50.0,1154.8,10.0,1051.2,no_data_yet,no_data_yet,958,0.347,no_data_yet,no_data_yet
2015-12-12,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-13,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-14,125.0,2833.8,10.0,1033.9,no_data_yet,no_data_yet,1468,0.662,no_data_yet,no_data_yet
2015-12-15,82.0,1732.5,10.0,1049.3,no_data_yet,no_data_yet,969,0.524,no_data_yet,no_data_yet
2015-12-16,66.0,1377.0,10.0,1036.4,no_data_yet,no_data_yet,1095,0.367,no_data_yet,no_data_yet
2015-12-17,49.0,944.6,10.0,1021.2,no_data_yet,no_data_yet,1183,0.32,no_data_yet,no_data_yet
2015-12-18,57.0,1093.8,10.0,1010.5,no_data_yet,no_data_yet,764,0.416,no_data_yet,no_data_yet
2015-12-19,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-20,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-21,129.0,2703.8,10.0,1040.9,no_data_yet,no_data_yet,1447,0.697,no_data_yet,no_data_yet
2015-12-22,100.0,2017.4,10.0,1008.0,no_data_yet,no_data_yet,982,0.668,no_data_yet,no_data_yet
2015-12-23,50.0,965.5,10.0,1051.2,no_data_yet,no_data_yet,1306,0.292,no_data_yet,no_data_yet
2015-12-24,27.0,617.8,10.0,1080.0,no_data_yet,no_data_yet,1103,0.264,no_data_yet,no_data_yet
2015-12-25,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-26,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-27,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-28,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2015-12-29,211.0,4458.4,10.0,1033.9,no_data_yet,no_data_yet,1923,0.915,no_data_yet,no_data_yet
2015-12-30,45.0,1000.3,10.0,1024.0,no_data_yet,no_data_yet,349,0.657,no_data_yet,no_data_yet
2015-12-31,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-1,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-2,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-3,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-4,91.0,2250.7,10.0,1032.5,no_data_yet,no_data_yet,1536,0.593,no_data_yet,no_data_yet
2016-1-5,78.0,1713.3,10.0,1033.8,no_data_yet,no_data_yet,788,0.619,no_data_yet,no_data_yet
2016-1-6,69.0,1453.8,10.0,1043.5,no_data_yet,no_data_yet,1226,0.433,no_data_yet,no_data_yet
2016-1-7,78.0,1576.4,10.0,1033.8,no_data_yet,no_data_yet,1085,0.441,no_data_yet,no_data_yet
2016-1-8,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-9,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-10,0.0,0.0,0.0,0.0,no_data_yet,no_data_yet,0,0,no_data_yet,no_data_yet
2016-1-11,61.0,1381.3,10.0,1038.7,no_data_yet,no_data_yet,1853,0.546,no_data_yet,no_data_yet
2016-1-12,112.0,2237.3,10.0,1047.9,no_data_yet,no_data_yet,1181,0.629,no_data_yet,no_data_yet
2016-1-13,100.0,1991.3,10.0,1018.8,no_data_yet,no_data_yet,1214,0.458,no_data_yet,no_data_yet
2016-1-14,72.0,1643.0,10.0,1025.0,no_data_yet,no_data_yet,1312,0.423,no_data_yet,no_data_yet
2016-1-15,45.0,993.8,10.0,1064.0,no_data_yet,no_data_yet,1104,0.298,no_data_yet,no_data_yet
